"data";"valor"
"01/01/2003";"96,15"
"01/02/2003";"98,67"
"01/03/2003";"103,41"
"01/04/2003";"102,19"
"01/05/2003";"100,30"
"01/06/2003";"98,58"
"01/07/2003";"103,05"
"01/08/2003";"101,47"
"01/09/2003";"102,87"
"01/10/2003";"105,06"
"01/11/2003";"101,95"
"01/12/2003";"99,74"
"01/01/2004";"98,59"
"01/02/2004";"99,45"
"01/03/2004";"111,98"
"01/04/2004";"107,36"
"01/05/2004";"106,03"
"01/06/2004";"107,00"
"01/07/2004";"111,47"
"01/08/2004";"110,65"
"01/09/2004";"109,21"
"01/10/2004";"108,89"
"01/11/2004";"109,59"
"01/12/2004";"107,56"
"01/01/2005";"103,52"
"01/02/2005";"104,00"
"01/03/2005";"115,42"
"01/04/2005";"112,35"
"01/05/2005";"110,86"
"01/06/2005";"111,50"
"01/07/2005";"113,15"
"01/08/2005";"115,15"
"01/09/2005";"110,95"
"01/10/2005";"111,33"
"01/11/2005";"111,73"
"01/12/2005";"111,25"
"01/01/2006";"108,55"
"01/02/2006";"107,80"
"01/03/2006";"119,09"
"01/04/2006";"112,61"
"01/05/2006";"117,19"
"01/06/2006";"114,40"
"01/07/2006";"119,41"
"01/08/2006";"121,06"
"01/09/2006";"116,21"
"01/10/2006";"119,33"
"01/11/2006";"118,67"
"01/12/2006";"116,30"
"01/01/2007";"114,79"
"01/02/2007";"113,33"
"01/03/2007";"125,11"
"01/04/2007";"120,29"
"01/05/2007";"123,90"
"01/06/2007";"122,38"
"01/07/2007";"127,85"
"01/08/2007";"129,05"
"01/09/2007";"123,24"
"01/10/2007";"129,17"
"01/11/2007";"125,88"
"01/12/2007";"122,43"
"01/01/2008";"121,86"
"01/02/2008";"121,91"
"01/03/2008";"128,99"
"01/04/2008";"129,48"
"01/05/2008";"128,92"
"01/06/2008";"130,59"
"01/07/2008";"136,53"
"01/08/2008";"133,87"
"01/09/2008";"132,60"
"01/10/2008";"132,80"
"01/11/2008";"124,58"
"01/12/2008";"118,90"
"01/01/2009";"115,20"
"01/02/2009";"115,26"
"01/03/2009";"127,81"
"01/04/2009";"123,09"
"01/05/2009";"124,41"
"01/06/2009";"125,61"
"01/07/2009";"131,44"
"01/08/2009";"130,70"
"01/09/2009";"129,81"
"01/10/2009";"132,48"
"01/11/2009";"129,62"
"01/12/2009";"129,23"
"01/01/2010";"125,81"
"01/02/2010";"127,61"
"01/03/2010";"143,44"
"01/04/2010";"136,87"
"01/05/2010";"136,52"
"01/06/2010";"136,09"
"01/07/2010";"141,64"
"01/08/2010";"141,55"
"01/09/2010";"139,46"
"01/10/2010";"139,33"
"01/11/2010";"139,68"
"01/12/2010";"136,69"
"01/01/2011";"132,66"
"01/02/2011";"136,18"
"01/03/2011";"144,93"
"01/04/2011";"139,89"
"01/05/2011";"143,23"
"01/06/2011";"141,75"
"01/07/2011";"145,19"
"01/08/2011";"147,51"
"01/09/2011";"142,30"
"01/10/2011";"142,02"
"01/11/2011";"141,87"
"01/12/2011";"139,23"
"01/01/2012";"133,34"
"01/02/2012";"135,35"
"01/03/2012";"146,35"
"01/04/2012";"139,85"
"01/05/2012";"144,56"
"01/06/2012";"142,28"
"01/07/2012";"147,46"
"01/08/2012";"149,91"
"01/09/2012";"141,60"
"01/10/2012";"147,71"
"01/11/2012";"144,15"
"01/12/2012";"139,52"
"01/01/2013";"139,32"
"01/02/2013";"136,14"
"01/03/2013";"148,01"
"01/04/2013";"149,79"
"01/05/2013";"147,03"
"01/06/2013";"144,87"
"01/07/2013";"152,13"
"01/08/2013";"151,81"
"01/09/2013";"147,27"
"01/10/2013";"151,90"
"01/11/2013";"147,79"
"01/12/2013";"145,77"
"01/01/2014";"142,72"
"01/02/2014";"143,53"
"01/03/2014";"149,03"
"01/04/2014";"147,69"
"01/05/2014";"147,14"
"01/06/2014";"140,88"
"01/07/2014";"149,85"
"01/08/2014";"148,27"
"01/09/2014";"148,12"
"01/10/2014";"149,70"
"01/11/2014";"144,92"
"01/12/2014";"145,48"
"01/01/2015";"139,04"
"01/02/2015";"136,85"
"01/03/2015";"149,54"
"01/04/2015";"142,49"
"01/05/2015";"139,77"
"01/06/2015";"138,48"
"01/07/2015";"143,16"
"01/08/2015";"140,76"
"01/09/2015";"138,05"
"01/10/2015";"140,20"
"01/11/2015";"136,16"
"01/12/2015";"136,31"
"01/01/2016";"128,79"
"01/02/2016";"131,10"
"01/03/2016";"140,42"
"01/04/2016";"135,94"
"01/05/2016";"133,22"
"01/06/2016";"135,08"
"01/07/2016";"136,60"
"01/08/2016";"137,97"
"01/09/2016";"133,81"
"01/10/2016";"132,90"
"01/11/2016";"132,50"
"01/12/2016";"133,69"
"01/01/2017";"129,12"
"01/02/2017";"129,63"
"01/03/2017";"142,08"
"01/04/2017";"133,71"
"01/05/2017";"135,75"
"01/06/2017";"134,87"
"01/07/2017";"138,33"
"01/08/2017";"140,06"
"01/09/2017";"134,82"
"01/10/2017";"136,20"
"01/11/2017";"135,32"
"01/12/2017";"136,16"
"01/01/2018";"132,49"
"01/02/2018";"130,03"
"01/03/2018";"141,62"
"01/04/2018";"139,00"
"01/05/2018";"132,30"
"01/06/2018";"136,97"
"01/07/2018";"141,08"
"01/08/2018";"143,39"
"01/09/2018";"135,78"
"01/10/2018";"140,07"
"01/11/2018";"137,94"
"01/12/2018";"136,67"
"01/01/2019";"133,84"
"01/02/2019";"134,07"
"01/03/2019";"139,04"
"01/04/2019";"139,60"
"01/05/2019";"139,43"
"01/06/2019";"135,14"
"01/07/2019";"143,18"
"01/08/2019";"142,17"
"01/09/2019";"138,26"
"01/10/2019";"143,14"
"01/11/2019";"139,10"
"01/12/2019";"137,79"
"01/01/2020";"134,15"
"01/02/2020";"134,57"
"01/03/2020";"136,42"
"01/04/2020";"119,56"
"01/05/2020";"120,57"
"01/06/2020";"127,10"
"01/07/2020";"136,56"
"01/08/2020";"135,87"
"01/09/2020";"137,12"
"01/10/2020";"139,88"
"01/11/2020";"137,98"
"01/12/2020";"139,17"
"01/01/2021";"131,46"
"01/02/2021";"134,26"
"01/03/2021";"144,50"
"01/04/2021";"138,88"
"01/05/2021";"137,29"
"01/06/2021";"137,68"
"01/07/2021";"142,60"
"01/08/2021";"141,72"
"01/09/2021";"138,64"
"01/10/2021";"137,75"
"01/11/2021";"139,58"
"01/12/2021";"141,60"
"01/01/2022";"131,21"
"01/02/2022";"136,54"
"01/03/2022";"149,44"
"01/04/2022";"142,97"
"01/05/2022";"142,39"
"01/06/2022";"141,69"
"01/07/2022";"148,46"
"01/08/2022";"149,22"
"01/09/2022";"144,37"
"01/10/2022";"142,80"
"01/11/2022";"141,22"
"01/12/2022";"142,55"
"01/01/2023";"136,08"
"01/02/2023";"140,82"
"01/03/2023";"158,10"
"01/04/2023";"148,35"
"01/05/2023";"146,68"
"01/06/2023";"145,88"
"01/07/2023";"150,44"
"01/08/2023";"151,41"
"01/09/2023";"145,29"
"01/10/2023";"145,50"
"01/11/2023";"145,04"
"01/12/2023";"145,09"
"01/01/2024";"141,88"
"01/02/2024";"146,06"
"01/03/2024";"156,77"
"01/04/2024";"156,03"
"01/05/2024";"149,43"
"01/06/2024";"150,99"
"01/07/2024";"159,30"
"01/08/2024";"157,15"
"01/09/2024";"152,92"
"01/10/2024";"155,89"
"01/11/2024";"150,49"
"01/12/2024";"148,52"
